Date,Open,High,Low,Close,Adj Close,Volume
2020-04-07,58.439998626708984,59.61000061035156,56.70000076293945,57.369998931884766,55.85713577270508,2889000
2020-04-08,57.68000030517578,59.25,57.11000061035156,58.40999984741211,56.86970901489258,3366700
2020-04-09,59.0,61.63999938964844,59.0,60.939998626708984,59.33299255371094,2866000
2020-04-13,61.66999816894531,62.689998626708984,61.02000045776367,62.18000030517578,60.54029083251953,3072200
2020-04-14,62.959999084472656,63.47999954223633,61.15999984741211,61.40999984741211,59.79059600830078,3332300
2020-04-15,60.650001525878906,60.77000045776367,58.790000915527344,60.150001525878906,58.56382369995117,3050900
2020-04-16,60.150001525878906,61.029998779296875,58.869998931884766,60.880001068115234,59.274574279785156,3110800
2020-04-17,62.13999938964844,62.959999084472656,61.43000030517578,62.34000015258789,60.69607162475586,2884600
2020-04-20,61.880001068115234,64.97000122070312,61.58000183105469,63.86000061035156,62.17599105834961,3442500
2020-04-21,62.790000915527344,63.279998779296875,61.47999954223633,61.90999984741211,60.27741241455078,2811600
2020-04-22,62.189998626708984,62.900001525878906,59.599998474121094,59.91999816894531,58.33988571166992,3988800
2020-04-23,59.0,61.45000076293945,58.939998626708984,60.900001525878906,59.294044494628906,2910300
2020-04-24,60.91999816894531,60.959999084472656,58.650001525878906,58.97999954223633,57.42467498779297,4385800
2020-04-27,59.56999969482422,60.20000076293945,58.959999084472656,59.68000030517578,58.10622024536133,3546700
2020-04-28,60.959999084472656,63.709999084472656,60.119998931884766,62.79999923706055,61.14393997192383,3887900
2020-04-29,62.79999923706055,63.900001525878906,62.25,63.29999923706055,61.63075256347656,3267400
2020-04-30,63.0,63.13999938964844,60.880001068115234,62.189998626708984,60.55002212524414,2816900
2020-05-01,61.220001220703125,61.66999816894531,59.2599983215332,60.0099983215332,58.42751693725586,2774800
2020-05-04,58.25,58.369998931884766,54.279998779296875,55.31999969482422,53.8611946105957,11134500
2020-05-05,55.29999923706055,57.790000915527344,54.90999984741211,56.9900016784668,55.48715591430664,5994300
2020-05-06,57.4900016784668,57.4900016784668,54.77000045776367,54.779998779296875,53.33543395996094,5470900
2020-05-07,55.65999984741211,57.90999984741211,55.54999923706055,57.2599983215332,55.750030517578125,5000600
2020-05-08,57.959999084472656,61.099998474121094,57.81999969482422,60.38999938964844,58.7974967956543,5191800
